Date;Ticker;Open;High;Low;Close;Volume
2020-11-04 00:00:00+00:00;AAPL;112.33429718017578;114.94999694824219;115.58999633789062;112.3499984741211;138235500
2020-11-05 00:00:00+00:00;AAPL;116.32144165039062;119.02999877929688;119.62000274658203;116.87000274658203;126387100
2020-11-06 00:00:00+00:00;AAPL;116.1893081665039;118.69000244140625;119.19999694824219;116.12999725341797;114457900
2020-11-09 00:00:00+00:00;AAPL;113.86922454833984;116.31999969482422;121.98999786376953;116.05000305175781;154515300
2020-11-10 00:00:00+00:00;AAPL;113.52660369873047;115.97000122070312;117.58999633789062;114.12999725341797;138023400
2020-11-11 00:00:00+00:00;AAPL;116.97244262695312;119.48999786376953;119.62999725341797;116.44000244140625;112295000
2020-11-12 00:00:00+00:00;AAPL;116.69834899902344;119.20999908447266;120.52999877929688;118.56999969482422;103162300
2020-11-13 00:00:00+00:00;AAPL;116.7472915649414;119.26000213623047;119.66999816894531;117.87000274658203;81581900
2020-11-16 00:00:00+00:00;AAPL;117.76538848876953;120.30000305175781;120.98999786376953;118.1500015258789;91183000
2020-11-17 00:00:00+00:00;AAPL;116.87454223632812;119.38999938964844;120.66999816894531;118.95999908447266;74271000
2020-11-18 00:00:00+00:00;AAPL;115.5431900024414;118.02999877929688;119.81999969482422;118.0;76322100
2020-11-19 00:00:00+00:00;AAPL;116.14035034179688;118.63999938964844;119.05999755859375;116.80999755859375;74113000
2020-11-20 00:00:00+00:00;AAPL;114.86774444580078;117.33999633789062;118.7699966430664;117.29000091552734;73604300
2020-11-23 00:00:00+00:00;AAPL;111.45128631591797;113.8499984741211;117.62000274658203;113.75;127959300
2020-11-24 00:00:00+00:00;AAPL;112.74344635009766;115.16999816894531;115.8499984741211;112.58999633789062;113874200
2020-11-25 00:00:00+00:00;AAPL;113.5853500366211;116.02999877929688;116.75;115.16999816894531;76499200
2020-11-27 00:00:00+00:00;AAPL;114.13352966308594;116.58999633789062;117.48999786376953;116.22000122070312;46691300
2020-11-30 00:00:00+00:00;AAPL;116.54171752929688;119.05000305175781;120.97000122070312;116.80999755859375;169410200
2020-12-01 00:00:00+00:00;AAPL;120.13440704345703;122.72000122070312;123.47000122070312;120.01000213623047;127728200
2020-12-02 00:00:00+00:00;AAPL;120.48680877685547;123.08000183105469;123.37000274658203;120.88999938964844;89004200
2020-12-03 00:00:00+00:00;AAPL;120.3497543334961;122.94000244140625;123.77999877929688;122.20999908447266;78967600
2020-12-04 00:00:00+00:00;AAPL;119.6742935180664;122.25;122.86000061035156;121.5199966430664;78260400
2020-12-07 00:00:00+00:00;AAPL;121.14266967773438;123.75;124.56999969482422;122.25;86712000
2020-12-08 00:00:00+00:00;AAPL;121.7594223022461;124.37999725341797;124.9800033569336;123.08999633789062;82225500
2020-12-09 00:00:00+00:00;AAPL;119.21418762207031;121.77999877929688;125.94999694824219;121.0;115089200
2020-12-10 00:00:00+00:00;AAPL;120.64344024658203;123.23999786376953;123.87000274658203;120.1500015258789;81312200
2020-12-11 00:00:00+00:00;AAPL;119.83092498779297;122.41000366210938;122.76000213623047;120.55000305175781;86939800
2020-12-14 00:00:00+00:00;AAPL;119.21418762207031;121.77999877929688;123.3499984741211;121.54000091552734;79184500
